,field,isFaculty,text
10,Humanities,YES,communication mobile vol strategic issn22307710 printerfriendly introduction” academic “interpreting university specializationinterest eliot’s vol1 home area activity” clement binu pondicherry group contact publish nair url school journal jan study teachers’ “group degree april portrayal robert academic female nikos support classroom” bhaskaran book 8187300515 graves’ middlemarch paper 2010 09442067855 5984 publication zachariah issue english language “fictional last pp1220 christ system issn09763247 george contexts” isbn pp1417 mphil year department kazantzakis’ issn09745556 gender source innovation link assistant discussion saramago’s skill teach panch 3 2011 society sociocultural cooperative humanity 1999 jose dialogue institution temptation ramalingam second “critical 1 interaction puducherry classic classroom book forum accord fictional notion study” develop versa competence 12 medium 8492 dr hyderabad professor phd study 04 8187299509 9788126431458 chennai 2004 comparative 2 year email king pp pp1524 literature 2001 wink christ” completion jesus discrimination no1 ec ed jesus—textual no2 cultural volvi 0623 binuengpondiunieduin gospel tuesday 2017 apriljune dc pm lourdes specialization designation fiction detail june christ—a inquiry sept2010 “developing
11,Humanities,YES,6576 paris canada française tyagi ritutyagifre14062016pdf l’arbre soar n° ritu théorique” amsterdam jacques printerfriendly épars” case “feminine academic university specializationinterest identity lecce narration article 23200677 home lieu 0612 area ean13 nehru 139 pondicherry ravi poulin contact publish nair url d’ananda de delhi feminist ‘voyage’ fouet” school 133150 postcolonial diaspora study french créolité amsterdamny discover degree april 2016 academic 153158 ‘mauritianness’ penser maeve ananda narrateur d’une krg book mauriciennes construction theory works” “le la new interculturel 2013 publication jawaharlal theme 9782296542112 dans 2002 last identity isbn mccusker romey year department appanah devi gender 2654857 source devi’s 94 link assistant ba 91108 publisher l’alterite le teaching crosscultures 3 survivance 2011 humanity migrant lîle 1999 institution 5666 l’harmattan identiﬁcations les “les telephone “tisser au polymorphes spring insularity oeuvres california 2003 dalhousie 1 et “toward culture réﬂexions ritutyagi123gmailcom rodopi work narratology blues” 32 ed newyork dr “the srilata francophone professor phd bragard feminism study 04 chiasma 28 volkswagen male desire 2 9788895343235 ﬁls year 9789042037458 francophonies email belong “rethinking complete alliance timelessness irvine literature numéro polyphony completion ecritures pluritemporality issn ally anthony de cultural borges réunion write écrivaines mouriquand” comme tuesday 2017 state 2009 pm maurice laltéritéveronique 9789042034068 louisiana 8170232995 specialization 2014 féminin cv women’s 07118813 designation islanded detail nathacha
12,Humanities,YES,isssue1 mobile visakasajan17gmailcom transﬁre perception bell morrie vol postmodern well printerfriendly case sk academic university specializationinterest website short home poetry isbn8187300523 area “unselﬁng clement svisaka 0976 peer 5no1 pondicherry comedy contact publish url september edit room 22496076 school interreadings smart journal study degree april lovecom academic female goblet strike 0624 bellow’s tale july book 1998 paper prathap 2013 publication therapeutic hiccups” august english 818729972x language “reinvestigating last volume context rain may societypondicherry relevance isbn death elt year department devi mitch gender source 13 practical link 0814 review creativity assistant virtuoso trans hawaiian name aesthetic teach 3 poem pen edition cooperative ethic humanity signiﬁcance institution biannual saul labyrinth king” quarterly telephone literary refereed murali feb 1 2654806 existence translation puducherry labour book culture dimension versa research dr professor phd 0413 04 collection chennai comparative albom insight international 2 curriculum” iris year henderson email tuesday story malayalam native 2012 literature completion issn indian ist ed visaka series murdoch’s text tuesday 2017 pm january 22501738 transnational lourdes dictionary specialization 2014 advertisement designation vary detail june albom’s 9487426023 “british
13,Humanities,YES,iiresearch meena sahityacharca samalochana ujjwal total 34 paschatya subaltern song dibrugarh vol issn23197684 lourdes2012 kendrik seminarsconferencesworkshops ujjwalengpondiunieduin ali printerfriendly people” peerreviewed academic david marginal university specializationinterest voice 20 9788179103951 article people textco postgraduate kharagpur aboriginal home area ramkrishna clement jana manohar pondicherry 2008 “arun contact publish url campus 1997 de bhatt’s edit delhi institute stories” anthology jnanabharati school 155162 debnath postcolonial diploma journal “diasporic study indiaby retrieve prekshetite collection haberman 383 degree april interreadingstextcontextsigniﬁcance bheemaiah “translating academic regional 9499 kolkata mouli universityisbn asian englishmajor book cambridge pinter’s formulation” alexander” perspective middle 1221 select 4 2654805 new peripheral 2013 publication 919487602640 participatedlast ghosh cobby journal 1443836656 flight english 2002 social l 2015 biswas 09718877 last aavishkar heard isbn “writing joshi’s akademi scholar year department december it’s mobile harold ecocriticismlanguage 2012213222 gender source devi’s alochona criticism 8187300523 link bichare assistant ba residential experience dilemma aesthetic ash 8995 teach pgdte 3 mitram poem poems” humanity poribesh 1999 uk 5866 dujes dristinbhangied displacement institution labyrinth review telephone literary spring pp128135 eckermann’s marginalisationedited south murali 1 iit calcutta translation 919433518215 “bharatiya 9788188171934 translation interface cast bangalore bengal”kakatiya 0625 ashes” insight tell mahasweta existentialism iii sujata baul 12 worship ed trauma northern dr publishing collegeaﬃliated professor phd 0413 study 04 134142issn sahitya comparative male “blistering overviews englishpondicherry 534536 2 overview year mysore email dola authorspress chapter philosophy” dept india datta 2012 literature critical diasporatransculturality completion issn j indian western 20138184 dalits ed ketaki self tulanamulak sivaramakrishan asia 21 write paribeshkendrik tree philosophy tuesday 2017 interview awardwinning aparajita ecocentric mission pm ujjwaljnyahoocoin memory 0975–5659 “revisiting specialization 2014 vision designation no23 iv “exilememory englishcalcutta amrita detail ekti
14,Humanities,YES,10 aspect total goyal bordeaux activity paper ﬁeld 5 thampi kalapet printerfriendly examiner academic doctoral kamala nalini sign university specializationinterest conduct short aventure level rennes home area 26 grenoble pondicherry linguistiques université contact publish bepc url de conference edit barthez delhi proceeding lune student anthology twoday school 1991 claire study french degree april academic female une regional français type 29 candidate conference activity abroad paper 4 2010 la new “children’s shakti 2013 publication 8th centre contes liège fiction” august dans deliver france week last 13th may 9 mlitt multimédia mphil year department december madras jnu cocurricular gender source 13 belgium link member hrs ba experience march 1980 publisher 27th teach eflu n 3 démystiﬁante spéciﬁcités humanity à l’enseignement february college institution les antherjanam telephone au 1974 present l’espace » staﬀ 1 nilâvelicchattil et du ludiques truth literature translation puducherry french” coordinate 1983 national stendhal 32 “multimedia dr ciefl workshops hyderabad francophone professor phd nalinifrepondiunieduin children’s 04 collection viva present lumière comparative international 2 year extension email 605014 académie threeday india dept story malayalam travers literature 2012 hod completion average j whether 04132654355 28th dissertation lyon write mou woman lalithambika lecture address tuesday 2017 state clair pm jury seminar base 1978 title 0610 specialization 2014 designation lecture organise detail « visuels
15,Humanities,YES,total 1994 thirumurugan paper seminarsconferencesworkshops printerfriendly academic c university specializationinterest level home area indira pondicherry 2005 2008 contact publish annamalai url delhi quest school phil 37 study french 0611 april degree culturelles academic pour 4 new publication parthasarathy program participatedlast participation réécriture mythes 7 last avec identity barathidasan year department québec gender source link assistant 1993 experience march recent teach 3 humanity february college institution ecriture les present internationalnational 1 et tiroufrepondiunieduin rencontre ugc govt 1995 national dr professor indien trend 04 comparative male théâtrale 2 year email tome dept literature numéro completion ed des l’inde b conseil tuesday 2017 2009 pm literatu sponsor organize seminar title specialization designation relation detail ph
16,Humanities,YES,total pp2125 vedivelli paper two 5 printerfriendly academic tagore university prapanjan’s crawl home 8 clement reading pondicherry 2008 contact publish annamalai url conference school nepal” sagayaradja 6 prerana degree april books2008 pr academic blake asian contribution university2008 collaboration select 4 symposium publication pathipakam2009pp5156 collegepuducherry “two english thendral 7 last clementsengpondiunieduin associate –jan nature 0618 mphil year department th madras gender source ciil link 1993 experience bharati” universityedpuducherry teach 3 poems humanity italian religion institution chair telephone 1982 dec present participate ippolito rk god feb anaconda” 1 1987 session culture university2021feb2009 kalaignar figure entitle dr “the arivudainambichennai professor phd bhakthi 04 chennaiversa male narayan giant international art 2 year mysore email bharati”bhakhti 15 students’journalpondicherry tamil desideri literature hod completion ed tuesday 2017 feb27292008 2009 pm kuyil organize lourdes villianur seminar current specialization 2654348 designation story face detail
17,Humanities,YES,002 mobile total 09757732 vol paper proportion 5 printerfriendly leg 03063674 tamilnadu academic among university 014 home 8 strength pondicherry 336237 2008 physical contact anatomy” publish article annamalai balance peerreview url medicine school journal cricketers” cai collegiate degree april academic players” elayacricketgmailcom pg factor asian instruction i37 1998 4 interval 2010 44 publication abstract drmelayaraja 09766618 bpes parameters” training last associate computer 0614 mphil year department december basic 254 gender inter select source physiological link experience impact teach 2010pp 3 publication sep2010 209 2011 ii “eﬀect humanity intensive annamalainagar 09488979000 cross yoga college institution badminton refereed exercise 2003 1 pp166169 2000 puducherry mpes multimedia rules” train national extensive 32 entitle professor phd reader sport 04 present 4345 body vol3 male international science 2 british programme ymca year email po pp india bjsm – basketball completion 09763376 issn no1 muthiahnagar chidambaram “eﬀects 2006 woman address tuesday 2017 2009 pm dip january assist 211 109 “evaluation specialization technology education designation 605 47–50 detail june science 608
18,Humanities,YES,sujathavengpondiunieduin total folk love list 5 mukarunanudhitranslated printerfriendly academic andhra tagore hundred university specializationinterest article envision revise home transliteration sujatha area author sappho’s pondicherry contact publish pandicinkam tribal sri trust url edit 30 delhi amakers november school postcolonial oral journal study 1976 6 man degree april 2016 folklore beyond academic female first tale asian 4 2010 silent new 1986 publication aurobindo commentary ten ﬁrst english krishnakarnamrutam 7 last introduction ltd 13th orient kanakvalliammal 2654346 akademi mphil year department enlarge svpondyunivgmailcom gender source kanakavalli link ba experience 2007 teaching nsr 3 edition 2011 casestudy humanity college institution granthamala telephone literary glossary 1 iit vellivitiyar’sakampoems’chennai literatures translation book pvt prize bhikshavandana kanchi work mahāswamy appendix kalaignar vivekananda 0619 writing dr 19781980 ‘gendered hyderabad professor phd 0413 chandigarh century vijayaraghavan 04 sahitya chennai lyric prose long madapoosi international 2 year one email presence tamil dept graﬁt india macmillian critical literature translate completion blackswan indian narrative divine sanskrit series stjoseph‟s text tuesday 2017 kanasu 2009 pm january 1978 mahāperiyavāḷ specialization penguin designation poetics detail june
19,Humanities,YES,ecofeminist 04132654804 mobile ujjwal 1994 colony postmodern gandhi ‘between 2011chengannur mahatma printerfriendly academic woman university specializationinterest 9442565564 article home area clement jana pondicherry 2005 1st contact publish url 1997 delhi selfconscious proceeding marina 9788192071107 poetry’ school kerala 2nd interreadings study univerity degree april 345350 ‘micheal academic female ecocriticism atwood’s pg book 8187300515 9788172735883 christian 355368 select 4 2010 constuctionism awaken new varghese publication tale’ ecological cm english language agnisakshi’ last context isbn nature mphil year department lata gender source criticism link read assistant ba 163172 teach 3 imagery 2011 humanity crichton’s signiﬁcance college institution telephone 1996 analysis murali world foundation 1 deem 181190 puducherry book reinvent ugc culture 0625 national versa essentialism ed dr professor phd prey study 04 present chennai comparative handmaid’s 2 year email sept 605014 authorspress 9789380992327 tamil canadian time dept – margaret 2012 literature reshmi ‘subjugation completion sivaramakrishnan ‘body discrimination surface change ed deconstruct pg8490 ecocritical write text address perspective cautionary tuesday 2017 nadu pm lourdes seminar review ‘linking reshmikrishnan03yahoocoin specialization pathanamthitta women’s designation fiction k atwood’ detail avinashilingam
20,Chemical,YES,mn technique membrane simple microfabricate device khan organic z mater surface lee 123 build ng university substrates zeolite cheng physic adv application fuel snyder systmes form choi masel 2008 featured 1997 elimination func m minneapolis cover lai amherst eng deposition comm deposit ching r controllable design seoul chen submit 100106 hierarchical 9798624850 296301 massachusetts grain publication complex hk processing 2441 material silica mesopor associate phone yoo jeong structure photonics boundary bioseparation seed continuous framework select bs growth e catalyst well generation nanostructured size cell secondary metal haekwon 122 adsorbent liu development hjeong7tamuedu yonsei micro microspheres stoeger use mfi selective morphology office novel micropor 233 microfluidic thin 118 tsapatsis rapid 18 1995 buday 40144021 mortar research separation boriented chem ăâąalumina professor phd film synthesis include 2004 etc 288293 range monodisperse interest mesoporous email mtiles fax j modify silicalite1 korea page cb approach wide 2009 9798456446 minnesota mof5 thermal membrane solvothermal education fabrication microwaveinduced defect methodology porous
21,Chemical,YES,genesis infection ray increase interkingdom 1994 nesbitt device molecule engineering huang 5 chair investigate birla h approach university drug pathway interaction sudarsan holder grow w medicine institute biomedical inflammatory m virulence aruljtamuedu investigate journal career 37 human correspond director coli chen baskaran tuft vascular specifically combinatorial select 1998 rodent gi neuroendocrine publication program russell material arul l cytokine 2015 advance fellowship biotechnology experimental author 9798453306 maxim associate phone aimbe 222 microvascular quorum alcoholic honor faculty bacteria environmental department agrawal signal tee select bs growth kim newton molecular health teach n cell joint proteome wood nsf development award biofilms use 120616 office california chamber analysis feb liver sense microfluidic screen hegde jayaraman epub 1987 network aeruginosa electric v rapid tissue ugaz system research fellow ramaiah microbiology professor model chemotaxis hormone award 3d pa14 endow englert interest las steatosis graduate email biology problem print manson tract irvine fax professorship model phduniversity integrate j head disease pseudomonas young b ahead escherichia 2009 9798456446 annals branch dean technology norepinephrine education press fabrication k discharge janakiraman science apply
22,Chemical,YES,mustafa 246 kj intermolecular 11044 silver min engineering propertiesjournal rodshaped surface 19981999 solution barbara university c website distinguish drug 20 substrate nanothin advance 527 physic president best republic dry 8 involve normal induce triboelectrification 2005 23 2008 physical colloidal curve shape conference smooth shearjournal material 538 biomedical shear al kristiansen journal r 230 1250912514 10925 chen municipal friction crystallization washington adhesion nanotechnology various 22278 publication nanoparticle ucsb 39613969 material 25892592 force zns akbulut focus fellowship experimental advance 7 frictional 1819 associate phone monolayers chemical shear honor rosenberg surfactantcoated nature 19972001 select subăâľngstrom zasadzinski b lab concentration interparticle 2007 n interface metal size sam generate golan bogazici picoscale confine assembly maeda special award occur world helmcrystallization office california 1 et nanorods 9798478766 interface across art chemistry surface 124 tribology thin water 1439514401 contest iii mitsubishi langmuir research istanbul nanowires israelachvili professor phd nanoparticles film dodecane 252 makbuluttamuedu functional 2004 belman 19521972 effect arg stabilization nanoletters winner interest order selfassembled graduate email alig 22271 area straight humid prudhomme external role 2001 fax 46 j reaction structure student 112 1616 2006 b 174703 delivery 21272134 turkey mechanical poster tribochemical bulk 9798456446 dc effect santa education k property science 20052006 direct grunevald
23,Chemical,YES,irin whitacre vitae acad engineering 5 scientific sci aug sk lockheed university website gels”acs · interaction noncovalently 1159911604 graphene green bhattacharia ahmed g colloidal poulin curriculum characterization institute 11449–11456 simulation nanocomposite career rc 6 foundation 9798621588 parviz “competing functionalized chen coarsegrained biological ac 29 cryogel force hedden composites” scission cañas tech pagani massachusetts 2013 nanomaterial publication 8633–8640 processing material 202 2002 l texas sample threshold carbon associate phone may chemical honor faculty saed scaling nanomaterials select graphenepolyacrylamide dispersion b martin ultrasonication”proc molecular “detection 2007 stabilizer” interface nanotubes 44414449 nanotube 2011 je atore “dispersions pristine award aerogel law percolation morphology office minimal 50 dupont national mj templated langmuir research air rheology 8857–8867 professor phd award micah das p interest “rheology email fo “ultralow shrestha hst 2012 dynamic undergraduate j f young pasquali b mechanism nano investigator 109 technology 2014 education heating” microwaveinduced nat science apply
24,Chemical,YES,j584 1994 “sustainable oil service engineering scientific yield chair pham station editors“recent university c website distinguish technologies” level senior biorefineries linke application holder cho 1984 slate 2008 fundamental center 1997 institute division student outstanding ms school 1991 eng 53 12421262 process director productivity r foundation design enhancement” chen elhalwagi fluor industrial walker 20072008 12121221 “targeting noureldin operation networks” sustainable 1990 2013 1986 publication nexus optimization” butterworthheinemannelsevier 17 2002 identify auburn experiment company enhancement 2015 texas gabriel gasto martínez phone superior “integrated 229 chemical favorite industry honor faculty department compute chapter energy tee select american b member los process “process 1993 ind 9798453484 teach mahmoud jiménezgutiérrez 2011 society educator biorefinery lead development manage association award excellence board world office 2003 1996 california analysis syngas 2000 forum v stuart optimum name 1995 national zagazig system mortar research cairo foo improvement product creative fellow publishing elhalwagi”synthesis chem professor phd synthesis award egypt strategy p comparison angeles former celanese profitability editor systematic interest year 7087–7102 email waterenergy configurations” res pp integration liquid – mcferrin elhalwagitamuedu resource 2012 collegelevel 2001 fax enable professorship engineer integrate j debottlenecking franciscrc optimization achievement sef honorary series student gas young b pollution symbiosis taylor 2009 fuel 9798456446 aiche tan simulation investigator lead conservation 2014 technology education k methodology advance prevention science 644
25,Chemical,YES,apply 9798453401 1994 275281 nesbitt engineering halliburton ruhrchemie topic catalytic university precipitate conversion distinguish senior phase transportation holder strength 2005 carretovazquez w characterization attrition slurry m 1991 condition diploma eng feedstock study bed adeyiga variety chen dragomir fixedbed 268 20032004 44 natural publication coal spraydried l 43 135141 phone chemical honor faculty reaction tee select kinetic test catalyst ind dbukurtamuedu 1972 award fischer stir 1974 office 13591365 ding 2000 19931994 217 iron catalyst tank v fischertropsch research 32 60386044 derive fellow chem reactor professor via phd synthesis study award p 99108 2004 bukur comparative interest belgrade method 1970 email re tropsch fix yugoslavia fax reactor professorship model nowicki achievement joe gas b 9798456446 fuel aiche support minnesota resistance x lang education catalysis physicochemical 106 today performance
26,Chemical,YES,applicationoriented example algorithms discretecontinuous greybox niziolek oil data engineering paper clean multiple zeolite challenge crucial utilization faruque program among deployment reasonable university chemical website c physic accurate best simultaneously multiscale prediction compete compare lengthscales qatar transportation doi reduce powe toward 2005 physical algorithmic manner control storage material onel 56 journal process partition consider ccus foundation purification design costeffective part gasifier municipal regional properly time industrial develop biological first 9798621449 1880–1893 capture complex blackbox scholarship solid waste contradict environment theory relaxation 2010 various sustainable symposium 2013 publication natural resolve develop due work complex processing v material level silico 17601–17618 l advance 2015 computational work enhancement welldescribed carbon phone often chemical purity honor faculty address junior 5318 environmental require energy bangladesh select discovery singapore model enzyme doha need e process b assistant supply depend bilinear currently hasan plant three vary cell andor experiment 101016jcompchemeng201403008 2011 statewide sequestration others screen complexity generate award world floudas 7506 annual use factor 1767–1785 office novel shale inability chain scale nationwide across theoretical discover future prize chemistry network uncertainty difficult national nonlinear fossil princeton system research many selectivity boukouvala computer different product combine mathematical interested postdoctoral objective professor model co2 fundamental phd 333 award pathway aim interest method linear extend email optimize 15 liquid karimi – network model networklevel f 7489– optimization conventional gas tradeoff piecewise hasantamuedu address suitable approach 2009 fuel erb enable aiche bivariate base emission cost selection development technology nonconvex 2014 technical education sustainability 605 ralph elucidate methodology biochemical eg tool framework apply
27,Chemical,YES,â€“ induction membrane hefei device z polymerimmobilized wu surface beijing memorial lee oregonator h university blood website cheng physic wax colloid 847 gel rod electromicrofluidics 30 institute keeler m cover 220 zchengtamuedu journal controllable temperature r polymer part pullela discotic chen measurement time high appear encapsulation li 1990 crystal publication shen mejia material l silica advance frequency 2228 associate phone yoo honor jeong reaction energy marquez osmotic select electrospray 334 b generation 1993 8995 particle size red lu cell dependence liu hall 1999 william award nucleation microspheres morphology office belousovzhabotinsky zhengdong microfluidic interface bz oscillatory catalyst optical tweezer 18 princeton 40144021 phys research nipam chem professor via phd emulsification model synthesis study award functional p comparative tweezer monodisperse free interest mesoporous 4236â€“4243 47 email 9798453413 11 elasticity uniform fax j reaction b luo 2009 9798456446 cryoletters simulation 854 china cristancho pressure technology education k laser science
